Temp,Pliq,p_vap (MPa),vf (m3/kg),vg (m3/kg),hf,hg (kJ/kg),sf (kJ/kg-K),sg (kJ/kg-K),cpf (kJ/kg-K),cpg (kJ/kg-K),muf (Pa-s),mug (Pa-s)
47,2.8647,2.8572,0.0010765,0.0078003,279.77,423.12,1.2619,1.7098,2.134,2.1884,0.000086013,0.000015693
48,2.9321,2.9245,0.0010849,0.0075566,281.77,422.69,1.268,1.7069,2.1712,2.2541,0.000084609,0.000015823
49,3.0007,2.993,0.0010936,0.0073184,283.8,422.22,1.274,1.7038,2.2117,2.3256,0.000083204,0.000015957
50,3.0706,3.0628,0.0011028,0.0070853,285.85,421.72,1.2801,1.7007,2.256,2.4036,0.000081795,0.000016098
51,3.1417,3.1339,0.0011123,0.0068573,287.93,421.17,1.2863,1.6975,2.3048,2.4892,0.000080381,0.000016246
52,3.214,3.2062,0.0011223,0.0066339,290.03,420.57,1.2926,1.6941,2.3587,2.5834,0.000078961,0.000016401
53,3.2877,3.2799,0.0011328,0.0064149,292.17,419.92,1.2989,1.6906,2.4187,2.6877,0.000077531,0.000016563
54,3.3627,3.3549,0.0011438,0.0062001,294.35,419.22,1.3053,1.6871,2.4858,2.804,0.000076091,0.000016735
55,3.4391,3.4313,0.0011555,0.0059891,296.57,418.46,1.3118,1.6833,2.5616,2.9343,0.000074637,0.000016917
56,3.5168,3.509,0.0011678,0.0057816,298.83,417.64,1.3184,1.6794,2.6476,3.0814,0.000073167,0.00001711
57,3.5959,3.5882,0.0011809,0.0055774,301.13,416.74,1.3251,1.6753,2.7463,3.2489,0.000071677,0.000017315
58,3.6764,3.6687,0.0011949,0.0053761,303.5,415.77,1.3319,1.6711,2.8605,3.4415,0.000070163,0.000017535
59,3.7584,3.7508,0.00121,0.0051772,305.92,414.71,1.339,1.6666,2.9944,3.6653,0.00006862,0.000017771
60,3.8418,3.8344,0.0012263,0.0049805,308.41,413.54,1.3461,1.6618,3.1533,3.9287,0.000067042,0.000018026
61,3.9268,3.9195,0.0012439,0.0047853,310.99,412.27,1.3535,1.6567,3.345,4.2431,0.000065421,0.000018304
62,4.0133,4.0061,0.0012633,0.0045911,313.66,410.86,1.3612,1.6513,3.5807,4.6253,0.000063749,0.000018607
63,4.1014,4.0944,0.0012848,0.0043972,316.44,409.3,1.3691,1.6455,3.8773,5.0999,0.000062014,0.000018942
64,4.1911,4.1843,0.0013088,0.0042028,319.35,407.56,1.3775,1.6392,4.2617,5.7049,0.000060201,0.000019316
65,4.2824,4.276,0.0013362,0.0040066,322.43,405.6,1.3862,1.6322,4.7792,6.5027,0.000058288,0.000019738
66,4.3754,4.3693,0.0013679,0.0038069,325.73,403.35,1.3956,1.6245,5.5129,7.6026,0.000056244,0.000020224
67,4.4702,4.4645,0.0014058,0.0036015,329.32,400.74,1.4058,1.6158,6.6326,9.2151,0.000054023,0.000020796
68,4.5668,4.5616,0.0014529,0.0033863,333.32,397.62,1.4171,1.6056,8.5449,11.804,0.000051543,0.000021493
69,4.6651,4.6606,0.0015155,0.0031539,338.01,393.72,1.4304,1.5933,12.496,16.634,0.000048704,0.000022388
70,4.7653,4.7617,0.0016117,0.0028869,344.1,388.43,1.4477,1.5769,24.523,28.756,0.000045602,0.000023662
